Fear,Greatest,Impact,Past,Encounter,Overcome,Embarrassed
Needles/Blood,,2,Yes,2,Yes,No
Being in Large Groups,,2,No,2,Yes,No
Snakes,,3,Yes,1,No,No
Other,Drowning,3,No,1,No,No
Needles/Blood,,4,No,2,No,No
Public Speaking,,4,No,4,Yes,Yes
Other,Rats,4,Yes,2,Yes,Yes
Needles/Blood,,6,Yes,3,No,No
Enclosed Spaces,,6,Yes,3,No,No
Insects,,7,No,3,Yes,No
Snakes,,7,No,2,No,No
Enclosed Spaces,,9,Yes,4,Yes,No
Other,Being upside down,10,Yes,4,No,No
Darkness,,4,No,3,No,No
Insects,,1,No,2,No,No
Flying,,2,No,2,Yes,No
Other,No,1,No,1,Yes,No
Drowning,,3,No,3,No,No
Being Alone,,8,No,5,Yes,Yes
Needles/Blood,,1,No,1,Yes,No
Other,Bees,8,No,1,No,No
Heights,,8,No,3,Yes,Yes
Darkness,,3,Yes,2,Yes,Yes
Other,Death,1,No,1,No,No
Other,Social Anxiety,9,No,5,,No
Needles/Blood,,4,No,3,No,Yes
Dogs,,8,No,5,No,Yes
Being in Large Groups,,7,Yes,4,No,Yes
Insects,,7,Yes,3,No,No
Being Alone,,2,No,2,No,No
Heights,,5,No,4,Yes,No
Enclosed Spaces,,1,No,1,Yes,No
Being Alone,,6,No,3,Yes,Yes
Being Alone,,7,Yes,4,Yes,No
Needles/Blood,,5,Yes,3,Yes,No
Dogs,,4,Yes,3,No,No
Insects,,7,Yes,5,No,No
Talking on the Phone,,10,No,5,No,Yes
Needles/Blood,,2,Yes,2,No,No
Needles/Blood,,8,No,4,No,Yes
Heights,,4,No,4,Yes,No
Being Alone,,8,No,2,Yes,No
Talking on the Phone,,5,Yes,5,Yes,Yes
Darkness,going blind,6,Yes,4,No,No
Insects,,2,No,2,Yes,No
Thunder/Lighting,,4,No,3,Yes,No
Other,choice,8,No,5,Yes,No
Public Speaking,,9,Yes,5,No,Yes
Being Alone,,7,No,3,Yes,Yes
Heights,,6,Yes,2,No,Yes
Public Speaking,,6,No,3,Yes,Yes
Other,Disappointing people,8,No,3,No,Yes
Being Alone,,7,No,4,No,Yes
Public Speaking,,9,No,4,Yes,Yes
Drowning,being choked ,6,Yes,3,No,Yes
Drowning,,4,Yes,2,No,Yes
Insects,,8,Yes,2,No,No
Heights,,7,Yes,3,Yes,Yes
Needles/Blood,,4,No,3,No,No
Drowning,,2,No,1,Yes,No
Being Alone,,10,No,3,No,No
Being in Large Groups,,4,No,2,Yes,No
Being Alone,,5,Yes,3,Yes,No
Other,Murders,1,No,2,Yes,No
Public Speaking,,8,No,3,No,Yes
Insects,,9,No,4,No,Yes
Heights,,4,Yes,3,Yes,No
Insects,,4,Yes,4,Yes,No
Being Alone,,8,Yes,5,No,Yes
Enclosed Spaces,,2,Yes,3,Yes,No
Public Speaking,,9,No,4,Yes,Yes
Drowning,,10,No,1,No,No
Heights,,4,No,2,No,No
Needles/Blood,,5,No,3,No,No
Other,frogs,7,Yes,3,No,Yes
Darkness,,2,No,2,Yes,No
Drowning,,4,Yes,2,Yes,Yes
Being in Large Groups,,9,No,4,Yes,No
Other,failure,6,Yes,3,Yes,Yes